Client Fund,Trade ID,Transaction Type,FX Type,Trade Date,Contractual Settlement Date,FX Buy/Sell,Broker Name,Exchange Rate,Amount Bought,Currency Bought,Amount Sold,Currency Sold,Base Currency Code,Base Current Value,Unrealized Gain/Loss,Days Past Due,Period End Date
HRQ4,26BJJBCC9L3,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,8122184.510000,CAD,5776828.660000,USD,CAD,7913388.740000,208795.770000,0.000000,02/18/2026
HRQ6,26BJJBCC9MJ,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,8990687.920000,CAD,6337588.910000,USD,CAD,8681546.170000,309141.750000,0.000000,02/18/2026
HRQ5,26BLJBB1Q7D,KSELL,S,02/18/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,10306328.650000,CAD,7372137.550000,USD,CAD,10098722.620000,207606.030000,0.000000,02/18/2026
HRQD,26BJJBCC9NW,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,27318057.910000,CAD,19666656.010000,USD,CAD,26940368.740000,377689.170000,0.000000,02/18/2026
HRTG,26AQKBB6BFJ,KBUY,F,01/27/2026,02/26/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,0.925211,520000.000000,SGD,560678.940000,CAD,CAD,562119.700000,1440.760000,0.000000,02/18/2026
HRTG,26ANKBB82H1,KBUY,F,01/22/2026,02/26/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,0.925211,810000.000000,SGD,872617.270000,CAD,CAD,875609.530000,2992.260000,0.000000,02/18/2026
HRTG,26ANKBB8772,KBUY,F,01/22/2026,02/26/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,1.036573,220000.000000,AUD,207193.800000,CAD,CAD,212181.130000,4987.330000,0.000000,02/18/2026
HRTG,26ANKBB87ZQ,KBUY,F,01/22/2026,02/26/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,0.564368,220000.000000,CHF,384708.870000,CAD,CAD,389970.530000,5261.660000,0.000000,02/18/2026
HRTG,26ANKBB8143,KBUY,F,01/22/2026,02/26/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,0.619490,270000.000000,EUR,437242.860000,CAD,CAD,435857.230000,-1385.630000,0.000000,02/18/2026
HRTG,26ANKBB818B,KBUY,F,01/22/2026,02/26/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,0.540766,140000.000000,GBP,260113.980000,CAD,CAD,258826.340000,-1287.640000,0.000000,02/18/2026
HRTG,26ASKBB70DJ,KBUY,F,01/29/2026,02/26/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,1.036573,170000.000000,AUD,161214.400000,CAD,CAD,163958.150000,2743.750000,0.000000,02/18/2026
HRTG,26ASKBB70CX,KBUY,F,01/29/2026,02/26/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,0.564368,100000.000000,CHF,176553.670000,CAD,CAD,177259.330000,705.660000,0.000000,02/18/2026
HRTG,26ASKBB70D3,KBUY,F,01/29/2026,02/26/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,0.619490,140000.000000,EUR,226184.000000,CAD,CAD,226000.040000,-183.960000,0.000000,02/18/2026
HRTE,26BHKBB5XQQ,KSELL,F,02/11/2026,03/26/2026,S,TORONTO DOMINION BANK,0.730007,84700324.540000,CAD,62627000.000000,USD,CAD,85662739.100000,-962414.560000,0.000000,02/18/2026
HRTE,26BHKBB5XXT,KSELL,F,02/11/2026,03/26/2026,S,BANK OF MONTREAL,0.730007,84751553.430000,CAD,62627000.000000,USD,CAD,85662739.100000,-911185.670000,0.000000,02/18/2026
HRTE,26BHKBB5XW5,KSELL,F,02/11/2026,03/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,84749674.620000,CAD,62627000.000000,USD,CAD,85662739.100000,-913064.480000,0.000000,02/18/2026
HRTE,26BCKBB6H5M,KSELL,F,02/04/2026,03/20/2026,S,BANQUE NATIONALE DU CANADA,0.730007,47549322.150000,CAD,34835000.000000,USD,CAD,47660422.440000,-111100.290000,0.000000,02/18/2026
HRTE,26BCKBB6GVW,KSELL,F,02/04/2026,03/20/2026,S,ROYAL BANK OF CANADA,0.730007,47566321.630000,CAD,34835000.000000,USD,CAD,47660422.440000,-94100.810000,0.000000,02/18/2026
HRTE,26AMKBB49L1,KSELL,F,01/21/2026,02/19/2026,S,ROYAL BANK OF CANADA,0.730007,105152730.820000,CAD,76241000.000000,USD,CAD,104438733.860000,713996.960000,0.000000,02/18/2026
HRTE,26AMKBB4196,KSELL,F,01/21/2026,02/19/2026,S,BANQUE NATIONALE DU CANADA,0.730007,105090899.360000,CAD,76241000.000000,USD,CAD,104438733.860000,652165.500000,0.000000,02/18/2026
HRTE,26ASKBB4D24,KSELL,F,01/29/2026,03/05/2026,S,TORONTO DOMINION BANK,0.730007,59482713.530000,CAD,43905000.000000,USD,CAD,60107822.470000,-625108.940000,0.000000,02/18/2026
HRTE,26ASKBB4DM6,KSELL,F,01/29/2026,03/05/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,59385463.950000,CAD,43905000.000000,USD,CAD,60107822.470000,-722358.520000,0.000000,02/18/2026
HRTG,26AEKBB7PV0,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,1.036573,1289294.250000,CAD,1391000.000000,AUD,CAD,1341563.450000,-52269.200000,0.000000,02/18/2026
